time(seconds),activatory proteins(h),repressory proteins(i),Q proteins(q),Qc proteins(qc)
4230,44096.4141227074,44096.4141227074,0.6230798161639237,99.95133683785537
4260,43438.04865499646,43438.04865499646,0.5488585852539145,99.95182977221191
4290,42763.94649688115,42763.94649688115,0.48304379804575037,99.95257635002287
4320,42078.37849518662,42078.37849518662,0.4247386956843796,99.95337446543363
4350,41385.415330766926,41385.415330766926,0.3731353695789413,99.95385388179852
4380,40688.4086876125,40688.4086876125,0.3275067663335618,99.95498140412431
4410,39989.94611582877,39989.94611582877,0.2871993195780943,99.9551299615548
4440,39293.275451814574,39293.275451814574,0.251626169837188,99.95606008974458
4470,38599.852974792186,38599.852974792186,0.22026093484166476,99.95706584667904
4500,37912.11180008586,37912.11180008586,0.19263199405025472,99.95759175819134
4530,37230.92473911161,37230.92473911161,0.16831725259026029,99.95866431410772
4560,36558.752119255805,36558.752119255805,0.14693935132210612,99.95936217289346
4590,35895.573290078035,35895.573290078035,0.12816129126683784,99.96001040522938
4620,35241.499059126916,35241.499059126916,0.11168244219108342,99.96067392042862
4650,34598.26125666407,34598.26125666407,0.09723490670633335,99.96135702566228
4680,33962.61412803279,33962.61412803279,0.08458021279597612,99.96215687217358
4710,33335.92717111406,33335.92717111406,0.073506309223265,99.96239729279793
4740,32714.938936922634,32714.938936922634,0.06382483978685953,99.96297972950998
4770,32099.315011322473,32099.315011322473,0.05536867386967441,99.96388562875916
4800,31486.87164351193,31486.87164351193,0.04798967216486038,99.96460156835838
4830,30877.577708800476,30877.577708800476,0.041556667854234515,99.96520418116387
4860,30270.294594137566,30270.294594137566,0.035953644855064706,99.96611314785038
4890,29665.81838551288,29665.81838551288,0.031078096037373094,99.96669058812437
4920,29063.90991374992,29063.90991374992,0.026839545543382054,99.96742096512195
4950,28465.359764511395,28465.359764511395,0.023158220511716218,99.96828660895883
4980,27870.608245961183,27870.608245961183,0.019963858620529133,99.9686790936526
5010,27280.760488067055,27280.760488067055,0.01719463891550758,99.96945020799552
5040,26695.842847384043,26695.842847384043,0.014796224380936815,99.97022259935447
5070,26116.794202127312,26116.794202127312,0.012720905645358436,99.97098738471188
5100,25544.36904863175,25544.36904863175,0.010926836088905333,99.9715969171612
5130,24978.820485575903,24978.820485575903,0.009377349438558846,99.97247635723456
5160,24420.54039452732,24420.54039452732,0.008040351702035013,99.97321428694141
5190,23870.17122149958,23870.17122149958,0.006887780002676075,99.97371583335854
5220,23328.267202654813,23328.267202654813,0.005895121538679541,99.9746511519904
5250,22795.101215765044,22795.101215765044,0.0050409865024507675,99.97498633149685
5280,22270.88554233098,22270.88554233098,0.004306729362119381,99.97594116430835
5310,21755.833494848062,21755.833494848062,0.003676113429669168,99.97658030826992
5340,21250.17534173093,21250.17534173093,0.0031350141210832985,99.97689507905847
5370,20754.124849353542,20754.124849353542,0.002671156755786637,99.97738055744342
5400,20267.79469803533,20267.79469803533,0.0022738851478404346,99.97845560427105
5430,19791.40235086373,19791.40235086373,0.0019339576121399386,99.97954776051394
5460,19325.057633913962,19325.057633913962,0.0016433673475508607,99.9802201236906
5490,18868.764246694107,18868.764246694107,0.00139518446770459,99.98069436698049
5520,18422.651282033057,18422.651282033057,0.0011834172311771106,99.9813272208601
5550,17986.65254365145,17986.65254365145,0.001002890278047142,99.98206701672535
5580,17560.795042272242,17560.795042272242,8.491379113113133E-4,99.98275474387162
5610,17145.05400518838,17145.05400518838,7.183106711857774E-4,99.98346201889765
5640,16739.391981236742,16739.391981236742,6.070936396966989E-4,99.98442380830001
5670,16343.798898185802,16343.798898185802,5.126350838166261E-4,99.98542544618897
5700,15958.198192725878,15958.198192725878,4.324841992949743E-4,99.98636755627066
5730,15582.482341216428,15582.482341216428,3.6453685571908776E-4,99.98661907177242
5760,15216.61363213495,15216.61363213495,3.0698836759037975E-4,99.987370180352
5790,14860.48819474545,14860.48819474545,2.582924275761766E-4,99.98784473019961
5820,14513.984512832085,14513.984512832085,2.171254377807777E-4,99.98845745087772
5850,14176.980286768312,14176.980286768312,1.8235556395888478E-4,99.98882655893605
5880,13849.32926488111,13849.32926488111,1.530159170781126E-4,99.98986330792387
5910,13530.974595452657,13530.974595452657,1.2828133745179112E-4,99.99044732805541
5940,13221.739966123456,13221.739966123456,1.0744831966066409E-4,99.9916720695986
5970,12921.464147190232,12921.464147190232,8.991767244277801E-5,99.99180137117156
6000,12629.99591420089,12629.99591420089,7.517955736862712E-5,99.99272469047456
6030,12347.094210678255,12347.094210678255,6.28005940843771E-5,99.99357338997119
6060,12072.664307682491,12072.664307682491,5.241275879243289E-5,99.99391228237428
6090,11806.479002974296,11806.479002974296,4.37038369837945E-5,99.99465068576124
6120,11548.383255327884,11548.383255327884,3.640922172856215E-5,99.9953060781096
6150,11298.187100530356,11298.187100530356,3.0304875510712952E-5,99.99609861630867
6180,11055.699571461999,11055.699571461999,2.520129705934471E-5,99.99672715348645
6210,10820.734361852485,10820.734361852485,2.093835523983264E-5,99.99759452834337
6240,10593.083608788556,10593.083608788556,1.7380870147544096E-5,99.99850701527883
6270,10372.541865116413,10372.541865116413,1.4414837383642346E-5,99.99914252437915
6300,10158.940798271618,10158.940798271618,1.194420534666256E-5,100.00008760560459
6330,9951.9632038039,9951.9632038039,9.888127477115099E-6,100.00088656905282
6360,9751.559232981592,9751.559232981592,8.178621952658805E-6,100.00111946053089
6390,9557.425360385098,9557.425360385098,6.758580533091456E-6,100.00170747859075
6420,9369.40457956087,9369.40457956087,5.580076261915942E-6,100.00251600673614
6450,9187.271970702663,9187.271970702663,4.602926690518992E-6,100.00302257331926
6480,9010.839449755704,9010.839449755704,3.7934753315175597E-6,100.00410121112098
6510,8839.901469667024,8839.901469667024,3.1235592841837093E-6,100.00460113180856
6540,8674.233890105064,8674.233890105064,2.569635508351461E-6,100.00563204455912
6570,8513.674105944865,8513.674105944865,2.112042143234037E-6,100.00601440222388
6600,8358.044892749102,8358.044892749102,1.7343746528946172E-6,100.00667973390787
6630,8207.173370949928,8207.173370949928,1.4229595000104738E-6,100.00796942122054
6660,8060.876538864374,8060.876538864374,1.166410564907739E-6,100.00860075250293
6690,7918.969480835272,7918.969480835272,9.552556909967568E-7,100.00913612004598
6720,7781.268727161063,7781.268727161063,7.81622597452219E-7,100.00953469161989
6750,7647.618875533615,7647.618875533615,6.389749961259444E-7,100.00997114609248
6780,7517.837676776917,7517.837676776917,5.218911179426458E-7,100.0115384884388
6810,7391.854197445711,7391.854197445711,4.2587802552145824E-7,100.01214956576442
6840,7269.391822632812,7269.391822632812,3.472160905769599E-7,100.01236899839132
6870,7150.4155993544055,7150.4155993544055,2.8282887032920923E-7,100.01306643451764
6900,7034.836477749155,7034.836477749155,2.3017434713631158E-7,100.01383005495302
6930,6922.242118257695,6922.242118257695,1.8715411757582177E-7,100.01510768375928
6960,6812.836359221696,6812.836359221696,1.520376465836471E-7,100.01511547138423
6990,6706.302502901399,6706.302502901399,1.2339915227336104E-7,100.01583345382967
7020,6602.427347039776,6602.427347039776,1.0006506915326742E-7,100.01722315655606
7050,6501.402192691738,6501.402192691738,8.10703615039846E-8,100.01720399591693
7080,6402.783735883778,6402.783735883778,6.562223317314868E-8,100.01796640606915
7110,6306.679686712814,6306.679686712814,5.307001229253647E-8,100.01964672407516
7140,6212.939543845503,6212.939543845503,4.288018570000405E-8,100.0194530996283
7170,6121.334322155121,6121.334322155121,3.461572353352799E-8,100.02015363375048
7200,6032.037350267596,6032.037350267596,2.7918974164375616E-8,100.02181936084924
7230,5944.673594313796,5944.673594313796,2.2497527290877118E-8,100.02155839238965
7260,5859.271140531163,5859.271140531163,1.8112541988857878E-8,100.02253973345336
7290,5775.764855138225,5775.764855138225,1.4569119680142666E-8,100.02384857755389
7320,5694.0808687826675,5694.0808687826675,1.1708371782337916E-8,100.02340422893272
7350,5614.024842291573,5614.024842291573,9.40089032215425E-9,100.02520239996673
7380,5535.786728666402,5535.786728666402,7.541378799068399E-9,100.02489532247223
7410,5458.8500727449955,5458.8500727449955,6.044241576760875E-9,100.02641303280726
7440,5383.644433532188,5383.644433532188,4.83996432846809E-9,100.02682380503043
7470,5309.743396183147,5309.743396183147,3.872146645905531E-9,100.02735718604661
7500,5237.170250588462,5237.170250588462,3.095071750151502E-9,100.02815985567658
7530,5166.085691102403,5166.085691102403,2.4717180855890753E-9,100.02851600219468
7560,5096.025679228276,5096.025679228276,1.9721340830652247E-9,100.0284265547201
7590,5027.248907971555,5027.248907971555,1.5721110919991987E-9,100.02548439870179
7620,4959.72696923384,4959.72696923384,1.2521008627540364E-9,100.02241996149424
7650,4893.109106797455,4893.109106797455,9.963333962905223E-10,100.0181852615308
7680,4827.586470303551,4827.586470303551,7.920987920067276E-10,100.01673569393674
7710,4763.002212936938,4763.002212936938,6.291631883700697E-10,100.01735597813385
7740,4699.439321003811,4699.439321003811,4.992942319063791E-10,100.01789808559023
7770,4636.838708291182,4636.838708291182,3.958759185089745E-10,100.0184655421452
7800,4575.027344150798,4575.027344150798,3.1359628572452246E-10,100.01893544469429
7830,4514.008664341924,4514.008664341924,2.481944281845831E-10,100.01952403837397
7860,4453.750091079221,4453.750091079221,1.9625577110816668E-10,100.02027793605258
