time(seconds),activatory proteins(h),repressory proteins(i),Q proteins(q),Qc proteins(qc)
13680,7095.821933473904,7095.821933473904,1.4737264668830229E-37,100.12267161003605
13710,7718.053488220997,7718.053488220997,9.782475733776766E-38,100.12288019145383
13740,8378.015185936869,8378.015185936869,6.487694776801821E-38,100.12321475392734
13770,9074.035709612206,9074.035709612206,4.298745912387865E-38,100.12525083744187
13800,9805.872578087095,9805.872578087095,2.8457901999698445E-38,100.12555566773659
13830,10572.037347230089,10572.037347230089,1.8822344677173503E-38,100.12563641570053
13860,11372.385547146609,11372.385547146609,1.2438107473580895E-38,100.12620259683014
13890,12203.437565857581,12203.437565857581,8.211918495416119E-39,100.12609519080708
13920,13065.07573569571,13065.07573569571,5.416823677840671E-39,100.12808045039917
13950,13957.826250007427,13957.826250007427,3.5698873619195377E-39,100.12812427423216
13980,14896.241300661728,14896.241300661728,2.35057479218598E-39,100.12942824437613
14010,15849.029882014882,15849.029882014882,1.54633428113464E-39,100.12968814151853
14040,16819.682613950336,16819.682613950336,1.0163480158898456E-39,100.1302571713106
14070,17810.967295505197,17810.967295505197,6.674077648708181E-40,100.13053386155595
14100,18824.5254637228,18824.5254637228,4.378746668139102E-40,100.13175931064569
14130,19860.557425366893,19860.557425366893,2.8702395182112204E-40,100.13238902785731
14160,20919.42357167319,20919.42357167319,1.87973321722207E-40,100.13348718571139
14190,21995.506879601104,21995.506879601104,1.2299403535795112E-40,100.13283081513721
14220,23089.576687411994,23089.576687411994,8.040473876705984E-41,100.13392920471001
14250,24195.930038959064,24195.930038959064,5.251568098042629E-41,100.13468440825274
14280,25314.199913403925,25314.199913403925,3.426937002494898E-41,100.13481223457116
14310,26440.01004755904,26440.01004755904,2.234256371974466E-41,100.1363404870874
14340,27571.105262021338,27571.105262021338,1.4553573921691305E-41,100.13709980547979
14370,28705.487097668083,28705.487097668083,9.471441372407934E-42,100.13708455701133
14400,29843.709336255877,29843.709336255877,6.158461979373794E-42,100.13899091326437
14430,31006.8724182688,31006.8724182688,4.00072062762949E-42,100.13941657319563
14460,32162.79901704844,32162.79901704844,2.5966532541284042E-42,100.13948196496581
14490,33302.577176178565,33302.577176178565,1.6838347540723613E-42,100.1396176673419
14520,34427.514931603546,34427.514931603546,1.0909246506015822E-42,100.14115873219114
14550,35542.92376977402,35542.92376977402,7.061546445487406E-43,100.1414674118272
14580,36646.906373263184,36646.906373263184,0.3717642710780993,100.02675379033592
14610,37735.18648690674,37735.18648690674,2.9374080347237297,97.82278660313204
14640,38810.75400395276,38810.75400395276,7.428186712838757,93.09395503299321
14670,39871.91433625547,39871.91433625547,12.623023824121875,87.80984388537439
14700,40913.36781753859,40913.36781753859,19.80369798631388,80.84737872721733
14730,41929.227511055484,41929.227511055484,30.880219758191263,70.09153060003601
14760,42910.76299223766,42910.76299223766,45.02987796686374,56.19914919389229
14790,43849.30952663476,43849.30952663476,59.34735097348,41.48744013068454
14820,44740.55242488271,44740.55242488271,71.6353885979422,28.405310802096135
14850,45580.70109115196,45580.70109115196,81.67964978413157,18.610051362119886
14880,46368.07707973656,46368.07707973656,89.61616196547,12.000520249298448
14910,47078.05147848921,47078.05147848921,94.87084412847405,7.6969510988673555
14940,47703.24174870803,47703.24174870803,98.073523559143,4.925573157290716
14970,48239.392840653156,48239.392840653156,99.49214016564532,3.147893097664719
15000,48687.0588217621,48687.0588217621,99.97981413666514,2.0097063070896404
15030,49048.639991892174,49048.639991892174,100.13042847128467,1.281840733496057
15060,49324.53419732934,49324.53419732934,100.17746602505855,0.8168409806947269
15090,49513.719966616794,49513.719966616794,100.1916664914898,0.5200529388763327
15120,49613.43175902759,49613.43175902759,100.19761533553562,0.3308002940330225
15150,49621.58096186259,49621.58096186259,100.20017575875923,0.21022926767004338
15180,49538.142422689496,49538.142422689496,100.2012153510743,0.1334841482256374
15210,49364.21463128106,49364.21463128106,100.2023600319137,0.0846789666736007
15240,49102.809929370414,49102.809929370414,100.2018748132397,0.05366990054643577
15270,48759.30646826299,48759.30646826299,100.20275733710584,0.03398563881513971
15300,48340.897845572785,48340.897845572785,100.20251446404444,0.021501536727372178
15330,47853.982270230896,47853.982270230896,100.2036008583699,0.01359104914848329
15360,47312.76255229879,47312.76255229879,100.20500218892744,0.008583133903018656
15390,46724.13993716787,46724.13993716787,100.20450634934,0.005415620409666762
15420,46097.07144522582,46097.07144522582,100.20594628565243,0.0034139721115176527
15450,45438.15396109743,45438.15396109743,100.20629853842115,0.002150211335102169
15480,44754.12985123966,44754.12985123966,100.2074048152218,0.001353043472922983
15510,44050.79676407736,44050.79676407736,100.20843741478346,8.506517122744908E-4
15540,43333.419418248304,43333.419418248304,100.2082945552329,5.343197624622603E-4
15570,42606.293950627376,42606.293950627376,100.20959191965238,3.3532051286055866E-4
15600,41873.48888363235,41873.48888363235,100.20923038217666,2.102463350874868E-4
15630,41138.20882208254,41138.20882208254,100.20986840098216,1.3170618651519702E-4
15660,40403.12813876329,40403.12813876329,100.21095773575794,8.24315270802235E-5
15690,39671.133747519285,39671.133747519285,100.21250540250823,5.154540371468624E-5
15720,38944.37470376028,38944.37470376028,100.21300973592373,3.2202973591808465E-5
15750,38224.319569801206,38224.319569801206,100.2125168036174,2.010071182205593E-5
15780,37511.74667518869,37511.74667518869,100.2140368285034,1.2535346125802083E-5
15810,36809.1170529602,36809.1170529602,100.21559333257275,7.81035286281951E-6
15840,36115.48027091395,36115.48027091395,100.2166318767279,4.8619939380064426E-6
15870,35430.75834078387,35430.75834078387,100.21750728975782,3.023901247079787E-6
15900,34754.74945462154,34754.74945462154,100.2172433980962,1.8790149223259248E-6
15930,34085.3311810848,34085.3311810848,100.21791644152069,1.1665471274125353E-6
15960,33422.03354532942,33422.03354532942,100.21848427267278,7.235753829778346E-7
15990,32762.92968371845,32762.92968371845,100.21865501030987,4.484094054552467E-7
16020,32107.650579245263,32107.650579245263,100.22031183670937,2.776355532856399E-7
16050,31455.10230122011,31455.10230122011,100.22031729430377,1.717453088832087E-7
16080,30805.90907043457,30805.90907043457,100.22168114749434,1.0614612011985618E-7
16110,30159.353777067583,30159.353777067583,100.22254131475555,6.55439791034955E-8
16140,29516.90254576081,29516.90254576081,100.22184724629412,4.04362544882922E-8
16170,28878.768392451697,28878.768392451697,100.22399220669904,2.492404221758884E-8
16200,28245.589765797944,28245.589765797944,100.22550827773125,1.534883704151022E-8
16230,27618.117688785685,27618.117688785685,100.22634135082657,9.443694138855463E-9
16260,26997.603644204955,26997.603644204955,100.22644142256874,5.805208085392106E-9
16290,26384.07912696647,26384.07912696647,100.22572626753475,3.565357735440298E-9
16320,25778.32315575387,25778.32315575387,100.22655937919629,2.1877509184499855E-9
16350,25180.879248226138,25180.879248226138,100.22852657497702,1.3412263613149329E-9
16380,24592.334569358187,24592.334569358187,100.22780030084164,8.215154401469864E-10
16410,24012.935673730422,24012.935673730422,100.22996923137005,5.027346557304801E-10
16440,23443.114484485683,23443.114484485683,100.22918219926842,3.073769966420081E-10
16470,22883.25529651498,22883.25529651498,100.23000828653899,1.8776444032148828E-10
16500,22333.569718227678,22333.569718227678,100.23211257159957,1.1459476477200371E-10
16530,21794.28115283521,21794.28115283521,100.2328219866285,6.987561683059115E-11
16560,21265.592456144288,21265.592456144288,100.23465212781242,4.256924809904047E-11
16590,20747.639035083197,20747.639035083197,100.23492557290815,2.5910505225220247E-11
16620,20240.524837341618,20240.524837341618,100.23576219267436,1.575671871952983E-11
16650,19744.293288435772,19744.293288435772,100.23748080294298,9.57338328312421E-12
16680,19258.876603021203,19258.876603021203,100.23647031664495,5.8113189699947E-12
16710,18784.599375543137,18784.599375543137,100.23750321095625,3.524467456183027E-12
16740,18321.23170258508,18321.23170258508,100.2380910089712,2.1356092057868958E-12
16770,17868.800646031847,17868.800646031847,100.23777254655778,1.2928839238816763E-12
16800,17427.25055754797,17427.25055754797,100.2376735953308,7.819999955997221E-13
16830,16996.500399499804,16996.500399499804,100.23755128664452,4.725670392365969E-13
16860,16576.4412112106,16576.4412112106,100.2376732141934,2.8531825783271356E-13
16890,16167.006457271282,16167.006457271282,100.23806309077969,1.7210962564724828E-13
16920,15768.111048054958,15768.111048054958,100.24110402012965,1.0372661768700443E-13
16950,15379.654632063644,15379.654632063644,100.24178695831175,6.245751977212177E-14
16980,15001.493710117877,15001.493710117877,100.24196643293385,3.7574110907833054E-14
17010,14633.497552375742,14633.497552375742,100.2439170695196,2.2584067011899225E-14
17040,14275.509135143771,14275.509135143771,100.24290705732051,1.3562046445120823E-14
17070,13927.38251647384,13927.38251647384,100.24387130374205,8.136907251061616E-15
17100,13588.990880859381,13588.990880859381,100.24350784341934,4.877582382653412E-15
17130,13260.123270106478,13260.123270106478,100.24727796264453,2.9211926661144877E-15
17160,12940.738451525516,12940.738451525516,100.24664099137692,1.7479367456588773E-15
17190,12630.629153781942,12630.629153781942,100.2472851794998,1.0449630391095736E-15
17220,12329.578062833105,12329.578062833105,100.24808725636609,6.241453562600033E-16
17250,12037.430757883494,12037.430757883494,100.2487168317668,3.724603955309767E-16
17280,11753.99560538217,11753.99560538217,100.24947397916937,2.2206697265853755E-16
17310,11479.127288900518,11479.127288900518,100.24989746523039,1.3228096256320613E-16
17340,11212.620393847017,11212.620393847017,100.25172035537733,7.8726368242606E-17
17370,10954.312086587026,10954.312086587026,100.25344303956174,4.68115026220588E-17
17400,10704.003719087608,10704.003719087608,100.25244953051599,2.7809580619712645E-17
17430,10461.494227831685,10461.494227831685,100.25296441932772,1.6506167115026793E-17
17460,10226.607837931555,10226.607837931555,100.25559041785515,9.788324823406244E-18
17490,9999.156780811483,9999.156780811483,100.25387925644486,5.799365236526329E-18
17520,9778.949377542753,9778.949377542753,100.25498018828586,3.4329089634073903E-18
17550,9565.784759136168,9565.784759136168,100.25669432631803,2.030269717295021E-18
17580,9359.43416080148,9359.43416080148,100.25552339756663,1.199650540208176E-18
17610,9159.762891675138,9159.762891675138,100.25623812345385,7.082153059989928E-19
17640,8966.51617566569,8966.51617566569,100.25946038420322,4.1772011257489705E-19
17670,8779.556664199927,8779.556664199927,100.25855123015576,2.4615858149011496E-19
17700,8598.628305362017,8598.628305362017,100.25979455765341,1.4492859704529E-19
