time(seconds),hFieldAvg,iFieldAvg,qFieldAvg,qcFieldAvg
28,73,9.952214497824341,9.952214497824341,0.05155325557731918,0.05155325557731918
28,74,9.952197910796762,9.952197910796762,0.05160314210075308,0.05160314210075308
28,75,9.95218132379995,9.95218132379995,0.051652953750964334,0.051652953750964334
28,76,9.95216473683442,9.95216473683442,0.05170273177129832,0.05170273177129832
28,77,9.952148149892293,9.952148149892293,0.05175257383902091,0.05175257383902091
28,78,9.952131562978867,9.952131562978867,0.051802263675214864,0.051802263675214864
28,79,9.952114976093812,9.952114976093812,0.05185232929069615,0.05185232929069615
28,80,9.952098389232757,9.952098389232757,0.051902164098449145,0.051902164098449145
28,81,9.952081802402986,9.952081802402986,0.05195213668211217,0.05195213668211217
28,82,9.952065215601579,9.952065215601579,0.0520020805111124,0.0520020805111124
28,83,9.952048628824059,9.952048628824059,0.05205194272032602,0.05205194272032602
28,84,9.952032042075361,9.952032042075361,0.05210165147788286,0.05210165147788286
28,85,9.952015455357495,9.952015455357495,0.052151493670337355,0.052151493670337355
28,86,9.951998868665838,9.951998868665838,0.05220133065253413,0.05220133065253413
28,87,9.951982282000225,9.951982282000225,0.052251102194096094,0.052251102194096094
28,88,9.951965695363398,9.951965695363398,0.052300720757139436,0.052300720757139436
28,89,9.951949108754828,9.951949108754828,0.05235049351146631,0.05235049351146631
28,90,9.95193252217272,9.95193252217272,0.052400501820381376,0.052400501820381376
28,91,9.951915935616825,9.951915935616825,0.052450489380348735,0.052450489380348735
28,92,9.951899349091939,9.951899349091939,0.05250046400229131,0.05250046400229131
28,93,9.951882762590866,9.951882762590866,0.052550331854232545,0.052550331854232545
28,94,9.951866176121229,9.951866176121229,0.05260011395507202,0.05260011395507202
28,95,9.951849589677238,9.951849589677238,0.052649957579786896,0.052649957579786896
28,96,9.951833003259702,9.951833003259702,0.0526997512049297,0.0526997512049297
28,97,9.951816416870546,9.951816416870546,0.05274977438715028,0.05274977438715028
28,98,9.95179983051009,9.95179983051009,0.052799825898958486,0.052799825898958486
28,99,9.951783244178007,9.951783244178007,0.05284972220224156,0.05284972220224156
29,00,9.951766657874881,9.951766657874881,0.05289978665528473,0.05289978665528473
29,01,9.951750071593112,9.951750071593112,0.052949756726942056,0.052949756726942056
29,02,9.951733485344674,9.951733485344674,0.052999777292514205,0.052999777292514205
29,03,9.951716899124946,9.951716899124946,0.053049989355763445,0.053049989355763445
29,04,9.951700312929217,9.951700312929217,0.05310025109051021,0.05310025109051021
29,05,9.951683726759317,9.951683726759317,0.053150291637099646,0.053150291637099646
29,06,9.951667140620213,9.951667140620213,0.05320046784778533,0.05320046784778533
